year,figure_idx,age_band,age_mid,above_today,col,row,median_age
1970,0,0-4,2.5,0,0,0,16.3
1970,1,0-4,2.5,0,1,0,16.3
1970,2,0-4,2.5,0,2,0,16.3
1970,3,0-4,2.5,0,3,0,16.3
1970,4,0-4,2.5,0,4,0,16.3
1970,5,0-4,2.5,0,5,0,16.3
1970,6,0-4,2.5,0,6,0,16.3
1970,7,0-4,2.5,0,7,0,16.3
1970,8,0-4,2.5,0,8,0,16.3
1970,9,0-4,2.5,0,9,0,16.3
1970,10,0-4,2.5,0,0,1,16.3
1970,11,0-4,2.5,0,1,1,16.3
1970,12,0-4,2.5,0,2,1,16.3
1970,13,0-4,2.5,0,3,1,16.3
1970,14,0-4,2.5,0,4,1,16.3
1970,15,0-4,2.5,0,5,1,16.3
1970,16,5-9,7.5,0,6,1,16.3
1970,17,5-9,7.5,0,7,1,16.3
1970,18,5-9,7.5,0,8,1,16.3
1970,19,5-9,7.5,0,9,1,16.3
1970,20,5-9,7.5,0,0,2,16.3
1970,21,5-9,7.5,0,1,2,16.3
1970,22,5-9,7.5,0,2,2,16.3
1970,23,5-9,7.5,0,3,2,16.3
1970,24,5-9,7.5,0,4,2,16.3
1970,25,5-9,7.5,0,5,2,16.3
1970,26,5-9,7.5,0,6,2,16.3
1970,27,5-9,7.5,0,7,2,16.3
1970,28,5-9,7.5,0,8,2,16.3
1970,29,5-9,7.5,0,9,2,16.3
1970,30,5-9,7.5,0,0,3,16.3
1970,31,5-9,7.5,0,1,3,16.3
1970,32,10-14,12.5,0,2,3,16.3
1970,33,10-14,12.5,0,3,3,16.3
1970,34,10-14,12.5,0,4,3,16.3
1970,35,10-14,12.5,0,5,3,16.3
1970,36,10-14,12.5,0,6,3,16.3
1970,37,10-14,12.5,0,7,3,16.3
1970,38,10-14,12.5,0,8,3,16.3
1970,39,10-14,12.5,0,9,3,16.3
1970,40,10-14,12.5,0,0,4,16.3
1970,41,10-14,12.5,0,1,4,16.3
1970,42,10-14,12.5,0,2,4,16.3
1970,43,10-14,12.5,0,3,4,16.3
1970,44,10-14,12.5,0,4,4,16.3
1970,45,15-19,17.5,0,5,4,16.3
1970,46,15-19,17.5,0,6,4,16.3
1970,47,15-19,17.5,0,7,4,16.3
1970,48,15-19,17.5,0,8,4,16.3
1970,49,15-19,17.5,0,9,4,16.3
1970,50,15-19,17.5,0,0,5,16.3
1970,51,15-19,17.5,0,1,5,16.3
1970,52,15-19,17.5,0,2,5,16.3
1970,53,15-19,17.5,0,3,5,16.3
1970,54,15-19,17.5,0,4,5,16.3
1970,55,15-19,17.5,0,5,5,16.3
1970,56,20-24,22.5,0,6,5,16.3
1970,57,20-24,22.5,0,7,5,16.3
1970,58,20-24,22.5,0,8,5,16.3
1970,59,20-24,22.5,0,9,5,16.3
1970,60,20-24,22.5,0,0,6,16.3
1970,61,20-24,22.5,0,1,6,16.3
1970,62,20-24,22.5,0,2,6,16.3
1970,63,20-24,22.5,0,3,6,16.3
1970,64,25-29,27.5,0,4,6,16.3
1970,65,25-29,27.5,0,5,6,16.3
1970,66,25-29,27.5,0,6,6,16.3
1970,67,25-29,27.5,0,7,6,16.3
1970,68,25-29,27.5,0,8,6,16.3
1970,69,25-29,27.5,0,9,6,16.3
1970,70,30-34,32.5,1,0,7,16.3
1970,71,30-34,32.5,1,1,7,16.3
1970,72,30-34,32.5,1,2,7,16.3
1970,73,30-34,32.5,1,3,7,16.3
1970,74,30-34,32.5,1,4,7,16.3
1970,75,30-34,32.5,1,5,7,16.3
1970,76,35-39,37.5,1,6,7,16.3
1970,77,35-39,37.5,1,7,7,16.3
1970,78,35-39,37.5,1,8,7,16.3
1970,79,35-39,37.5,1,9,7,16.3
1970,80,35-39,37.5,1,0,8,16.3
1970,81,40-44,42.5,1,1,8,16.3
1970,82,40-44,42.5,1,2,8,16.3
1970,83,40-44,42.5,1,3,8,16.3
1970,84,40-44,42.5,1,4,8,16.3
1970,85,45-49,47.5,1,5,8,16.3
1970,86,45-49,47.5,1,6,8,16.3
1970,87,45-49,47.5,1,7,8,16.3
1970,88,45-49,47.5,1,8,8,16.3
1970,89,50-54,52.5,1,9,8,16.3
1970,90,50-54,52.5,1,0,9,16.3
1970,91,50-54,52.5,1,1,9,16.3
1970,92,55-59,57.5,1,2,9,16.3
1970,93,55-59,57.5,1,3,9,16.3
1970,94,55-59,57.5,1,4,9,16.3
1970,95,60-64,62.5,1,5,9,16.3
1970,96,60-64,62.5,1,6,9,16.3
1970,97,65-69,67.5,1,7,9,16.3
1970,98,70+,75.0,1,8,9,16.3
1970,99,70+,75.0,1,9,9,16.3
2024,0,0-4,2.5,0,0,0,30.5
2024,1,0-4,2.5,0,1,0,30.5
