year,sex,age_band,population,population_signed
1980,female,0-4,963900,963900
1980,female,5-9,901500,901500
1980,female,10-14,842800,842800
1980,female,15-19,792000,792000
1980,female,20-24,693900,693900
1980,female,25-29,565000,565000
1980,female,30-34,445200,445200
1980,female,35-39,355300,355300
1980,female,40-44,300100,300100
1980,female,45-49,257100,257100
1980,female,50-54,214000,214000
1980,female,55-59,173100,173100
1980,female,60-64,135200,135200
1980,female,65-69,100100,100100
1980,female,70+,148000,148000
1980,male,0-4,1015200,-1015200
1980,male,5-9,942600,-942600
1980,male,10-14,876300,-876300
1980,male,15-19,784500,-784500
1980,male,20-24,661200,-661200
1980,male,25-29,553200,-553200
1980,male,30-34,456000,-456000
1980,male,35-39,374600,-374600
1980,male,40-44,313100,-313100
1980,male,45-49,259000,-259000
1980,male,50-54,210500,-210500
1980,male,55-59,169500,-169500
1980,male,60-64,133200,-133200
1980,male,65-69,100000,-100000
1980,male,70+,143000,-143000
2010,female,0-4,1220400,1220400
2010,female,5-9,1294900,1294900
2010,female,10-14,1295600,1295600
2010,female,15-19,1383600,1383600
2010,female,20-24,1408000,1408000
2010,female,25-29,1310700,1310700
2010,female,30-34,1019300,1019300
2010,female,35-39,941100,941100
2010,female,40-44,883100,883100
2010,female,45-49,774200,774200
2010,female,50-54,664100,664100
2010,female,55-59,519100,519100
2010,female,60-64,406700,406700
2010,female,65-69,267600,267600
2010,female,70+,469600,469600
2010,male,0-4,1288200,-1288200
2010,male,5-9,1364500,-1364500
2010,male,10-14,1358400,-1358400
2010,male,15-19,1453800,-1453800
2010,male,20-24,1504000,-1504000
2010,male,25-29,1478900,-1478900
2010,male,30-34,1162400,-1162400
2010,male,35-39,1013700,-1013700
2010,male,40-44,908400,-908400
2010,male,45-49,840100,-840100
2010,male,50-54,706700,-706700
2010,male,55-59,547000,-547000
2010,male,60-64,416800,-416800
2010,male,65-69,270400,-270400
2010,male,70+,417500,-417500
2024,female,0-4,1140600,1140600
2024,female,5-9,1258900,1258900
2024,female,10-14,1261200,1261200
2024,female,15-19,1296700,1296700
2024,female,20-24,1428900,1428900
2024,female,25-29,1332200,1332200
2024,female,30-34,1330100,1330100
2024,female,35-39,1335200,1335200
2024,female,40-44,1223400,1223400
2024,female,45-49,967400,967400
2024,female,50-54,845700,845700
2024,female,55-59,737300,737300
2024,female,60-64,667400,667400
2024,female,65-69,536400,536400
2024,female,70+,811800,811800
2024,male,0-4,1214800,-1214800
2024,male,5-9,1315800,-1315800
2024,male,10-14,1359500,-1359500
2024,male,15-19,1427900,-1427900
2024,male,20-24,1727600,-1727600
2024,male,25-29,1704100,-1704100
2024,male,30-34,1626000,-1626000
2024,male,35-39,1521500,-1521500
2024,male,40-44,1384600,-1384600
2024,male,45-49,1051000,-1051000
2024,male,50-54,877400,-877400
2024,male,55-59,735500,-735500
2024,male,60-64,672200,-672200
2024,male,65-69,515100,-515100
2024,male,70+,745900,-745900
