year,births,deaths,natural_increase
2000,537853,100707,437146
2001,505479,104531,400948
2002,494538,110367,384171
2003,481399,112744,368655
2004,481800,113192,368608
2005,474473,115436,359037
2006,472698,117778,354920
2007,479647,120670,358977
2008,493203,127098,366105
2009,501644,131328,370316
2010,491239,130978,360261
2011,511594,135463,376131
2012,526012,138692,387320
2013,503914,142202,361712
2014,528612,150318,378294
2015,521136,155786,365350
2016,508203,162201,346002
2017,508685,168168,340517
2018,501945,172031,329914
2019,489863,174254,315609
2020,471504,167181,304323
2021,439744,224931,214813
2022,423124,206780,216344
2023,455761,196965,258796
