state,pop_65plus,pop_total,pct_65plus,map_name
Johor,309.2,4184.4,7.39,Johor
Kedah,201.5,2217.1,9.09,Kedah
Kelantan,132.9,1887.9,7.04,Kelantan
Melaka,70.8,1046.7,6.76,Malacca
Negeri Sembilan,94.7,1239.5,7.64,Negeri Sembilan
Pahang,113.0,1667.7,6.78,Pahang
Perak,254.6,2569.4,9.91,Perak
Perlis,24.5,296.8,8.25,Perlis
Pulau Pinang,144.3,1800.5,8.01,Penang
Sabah,231.1,3742.0,6.18,Sabah
Sarawak,217.5,2517.5,8.64,Sarawak
Selangor,592.8,7362.7,8.05,Selangor
Terengganu,74.8,1231.5,6.07,Terengganu
W.P. Kuala Lumpur,140.0,2067.5,6.77,Kuala Lumpur
W.P. Labuan,5.2,100.8,5.16,Labuan
W.P. Putrajaya,2.3,120.3,1.91,Putrajaya
