state,map_name,year,pct_65plus
Johor,Johor,2000,3.96
Johor,Johor,2024,7.39
Kedah,Kedah,2000,5.17
Kedah,Kedah,2024,9.09
Kelantan,Kelantan,2000,4.77
Kelantan,Kelantan,2024,7.04
Melaka,Malacca,2000,5.21
Melaka,Malacca,2024,6.76
Negeri Sembilan,Negeri Sembilan,2000,4.72
Negeri Sembilan,Negeri Sembilan,2024,7.64
Pahang,Pahang,2000,3.33
Pahang,Pahang,2024,6.78
Perak,Perak,2000,5.9
Perak,Perak,2024,9.91
Perlis,Perlis,2000,6.07
Perlis,Perlis,2024,8.25
Pulau Pinang,Penang,2000,5.07
Pulau Pinang,Penang,2024,8.01
Sabah,Sabah,2000,2.38
Sabah,Sabah,2024,6.18
Sarawak,Sarawak,2000,4.23
Sarawak,Sarawak,2024,8.64
Selangor,Selangor,2000,2.78
Selangor,Selangor,2024,8.05
Terengganu,Terengganu,2000,4.07
Terengganu,Terengganu,2024,6.07
W.P. Kuala Lumpur,Kuala Lumpur,2000,3.21
W.P. Kuala Lumpur,Kuala Lumpur,2024,6.77
W.P. Labuan,Labuan,2000,1.84
W.P. Labuan,Labuan,2024,5.16
W.P. Putrajaya,Putrajaya,2024,1.91
