year,band,pct,source
1970,0-14,44.55,historical
1970,15-64,52.17,historical
1970,65+,3.28,historical
1971,0-14,43.97,historical
1971,15-64,52.66,historical
1971,65+,3.37,historical
1972,0-14,43.48,historical
1972,15-64,53.11,historical
1972,65+,3.4,historical
1973,0-14,42.98,historical
1973,15-64,53.55,historical
1973,65+,3.47,historical
1974,0-14,42.5,historical
1974,15-64,53.97,historical
1974,65+,3.53,historical
1975,0-14,42.04,historical
1975,15-64,54.36,historical
1975,65+,3.6,historical
1976,0-14,41.54,historical
1976,15-64,54.84,historical
1976,65+,3.62,historical
1977,0-14,41.1,historical
1977,15-64,55.31,historical
1977,65+,3.59,historical
1978,0-14,40.64,historical
1978,15-64,55.77,historical
1978,65+,3.59,historical
1979,0-14,40.21,historical
1979,15-64,56.19,historical
1979,65+,3.6,historical
1980,0-14,39.93,historical
1980,15-64,56.53,historical
1980,65+,3.54,historical
1981,0-14,39.43,historical
1981,15-64,57.0,historical
1981,65+,3.57,historical
1982,0-14,39.07,historical
1982,15-64,57.34,historical
1982,65+,3.6,historical
1983,0-14,38.67,historical
1983,15-64,57.72,historical
1983,65+,3.61,historical
1984,0-14,38.41,historical
1984,15-64,57.97,historical
1984,65+,3.62,historical
1985,0-14,38.29,historical
1985,15-64,58.1,historical
1985,65+,3.61,historical
1986,0-14,38.11,historical
1986,15-64,58.27,historical
1986,65+,3.62,historical
1987,0-14,37.98,historical
1987,15-64,58.39,historical
1987,65+,3.63,historical
1988,0-14,37.82,historical
1988,15-64,58.54,historical
1988,65+,3.64,historical
1989,0-14,37.65,historical
1989,15-64,58.71,historical
1989,65+,3.64,historical
1990,0-14,37.43,historical
1990,15-64,58.94,historical
1990,65+,3.64,historical
1991,0-14,37.2,historical
1991,15-64,59.15,historical
1991,65+,3.64,historical
1992,0-14,36.91,historical
1992,15-64,59.38,historical
1992,65+,3.71,historical
1993,0-14,36.69,historical
1993,15-64,59.59,historical
1993,65+,3.72,historical
1994,0-14,36.39,historical
1994,15-64,59.87,historical
1994,65+,3.74,historical
1995,0-14,36.04,historical
1995,15-64,60.19,historical
1995,65+,3.77,historical
1996,0-14,35.65,historical
1996,15-64,60.55,historical
1996,65+,3.8,historical
1997,0-14,35.23,historical
1997,15-64,60.94,historical
1997,65+,3.83,historical
1998,0-14,34.84,historical
1998,15-64,61.29,historical
1998,65+,3.86,historical
1999,0-14,34.42,historical
1999,15-64,61.67,historical
1999,65+,3.91,historical
2000,0-14,34.06,historical
2000,15-64,61.97,historical
2000,65+,3.97,historical
2001,0-14,33.6,historical
2001,15-64,62.34,historical
2001,65+,4.07,historical
2002,0-14,32.99,historical
2002,15-64,62.83,historical
2002,65+,4.18,historical
2003,0-14,32.3,historical
2003,15-64,63.42,historical
2003,65+,4.29,historical
2004,0-14,31.6,historical
2004,15-64,64.01,historical
2004,65+,4.39,historical
2005,0-14,30.87,historical
2005,15-64,64.64,historical
2005,65+,4.49,historical
2006,0-14,30.12,historical
2006,15-64,65.28,historical
2006,65+,4.6,historical
2007,0-14,29.39,historical
2007,15-64,65.93,historical
2007,65+,4.69,historical
2008,0-14,28.67,historical
2008,15-64,66.56,historical
2008,65+,4.76,historical
2009,0-14,28.01,historical
2009,15-64,67.14,historical
2009,65+,4.85,historical
