state,map_name,pop_65plus_thousands,pop_15_64,old_age_dep_ratio
Johor,Johor,109.3,2965.6,3.69
Johor,Johor,309.2,2965.6,10.43
Kedah,Kedah,86.4,1482.0,5.83
Kedah,Kedah,201.5,1482.0,13.6
Kelantan,Kelantan,65.0,1221.1,5.32
Kelantan,Kelantan,132.9,1221.1,10.88
Melaka,Malacca,33.7,742.5,4.54
Melaka,Malacca,70.8,742.5,9.54
Negeri Sembilan,Negeri Sembilan,40.9,850.5,4.81
Negeri Sembilan,Negeri Sembilan,94.7,850.5,11.13
Pahang,Pahang,43.2,1156.3,3.74
Pahang,Pahang,113.0,1156.3,9.77
Perak,Perak,123.5,1769.7,6.98
Perak,Perak,254.6,1769.7,14.39
Perlis,Perlis,12.6,214.4,5.88
Perlis,Perlis,24.5,214.4,11.43
Pulau Pinang,Penang,67.6,1319.1,5.12
Pulau Pinang,Penang,144.3,1319.1,10.94
Sabah,Sabah,61.9,2621.9,2.36
Sabah,Sabah,231.1,2621.9,8.81
Sarawak,Sarawak,87.7,1793.0,4.89
Sarawak,Sarawak,217.5,1793.0,12.13
Selangor,Selangor,116.4,5228.5,2.23
Selangor,Selangor,592.8,5228.5,11.34
Terengganu,Terengganu,36.7,813.8,4.51
Terengganu,Terengganu,74.8,813.8,9.19
W.P. Kuala Lumpur,Kuala Lumpur,45.5,1569.0,2.9
W.P. Kuala Lumpur,Kuala Lumpur,140.0,1569.0,8.92
W.P. Labuan,Labuan,1.4,69.10000000000001,2.03
W.P. Labuan,Labuan,5.2,69.10000000000001,7.53
W.P. Putrajaya,Putrajaya,2.3,76.3,3.01
